ds,y
2016-08-01,47.099998474121094
2016-08-02,45.874000549316406
2016-08-03,45.4739990234375
2016-08-04,45.13800048828125
2016-08-05,46.0
2016-08-08,45.599998474121094
2016-08-09,45.36399841308594
2016-08-10,45.64799880981445
2016-08-11,45.23400115966797
2016-08-12,45.082000732421875
2016-08-15,45.20399856567383
2016-08-16,45.097999572753906
2016-08-17,44.86600112915039
2016-08-18,44.763999938964844
2016-08-19,44.70800018310547
2016-08-22,44.83399963378906
2016-08-23,44.86399841308594
2016-08-24,45.40999984741211
2016-08-25,44.62200164794922
2016-08-26,44.428001403808594
2016-08-29,44.029998779296875
2016-08-30,43.22200012207031
2016-08-31,42.08599853515625
2016-09-01,41.801998138427734
2016-09-02,40.465999603271484
2016-09-06,39.80400085449219
2016-09-07,41.099998474121094
2016-09-08,39.90999984741211
2016-09-09,39.81800079345703
2016-09-12,39.0
2016-09-13,39.4119987487793
2016-09-14,39.150001525878906
2016-09-15,39.29800033569336
2016-09-16,40.08399963378906
2016-09-19,41.400001525878906
2016-09-20,41.369998931884766
2016-09-21,41.27399826049805
2016-09-22,41.279998779296875
2016-09-23,41.198001861572266
2016-09-26,41.29999923706055
2016-09-27,41.93000030517578
2016-09-28,41.50199890136719
2016-09-29,41.119998931884766
2016-09-30,40.44200134277344
2016-10-03,42.459999084472656
2016-10-04,42.619998931884766
2016-10-05,42.448001861572266
2016-10-06,40.492000579833984
2016-10-07,40.20000076293945
2016-10-10,40.27000045776367
2016-10-11,40.369998931884766
2016-10-12,40.189998626708984
2016-10-13,40.099998474121094
2016-10-14,40.13199996948242
2016-10-17,39.40999984741211
2016-10-18,39.198001861572266
2016-10-19,39.948001861572266
2016-10-20,40.42399978637695
2016-10-21,39.720001220703125
2016-10-24,40.20000076293945
2016-10-25,40.58000183105469
2016-10-26,40.20000076293945
2016-10-27,42.268001556396484
2016-10-28,40.79999923706055
2016-10-31,40.49800109863281
2016-11-01,39.608001708984375
2016-11-02,38.0099983215332
